Country,Average Wage,Longitude,Latitude
Monaco,186080,,
Bermuda ,134640,,
Norway,102460,,
Switzerland,95160,,
Luxembourg,88370,,
Ireland,80390,,
United States of America,80300,,
Iceland,79840,,
Denmark,73360,,
Singapore,70590,,
Australia,63140,133.7751,-25.2744
Sweden,61650,,
Netherlands,60670,,
Hong Kong ,55200,,
Austria,55070,,
Israel,55020,,
Belgium,54530,,
Germany,53970,,
Canada,53930,,
Finland,53390,,
United Arab Emirates,53290,,
New Zealand,48610,,
United Kingdom,47800,,
France,45070,,
Macao ,43940,,
Japan,39030,,
Italy,38200,,
South Korea,35490,,
Brunei,34970,,
Taiwan ,33365,,
Spain,32180,,
Cyprus,30990,,
Slovenia,30620,,
Saudi Arabia,28690,,
Estonia,27240,,
Czechia,27110,,
Portugal,26270,,
Lithuania,24820,,
Slovakia,22790,,
Greece,22580,,
Latvia,21970,,
Hungary,19820,,
Poland,19730,,
Romania,16670,,
Chile,15820,,
Bulgaria,14460,,
Russia,14250,,
Costa Rica,13850,,
China,13400,,
Argentina,12520,,
Mexico,12100,,
Malaysia,11970,,
Turkey,11650,,
Montenegro,11500,,
Kazakhstan,10940,,
Serbia,10030,,
Brazil,9070,,
Bosnia and Herzegovina,8160,,
Belarus,7780,,
North Macedonia,7660,,
Armenia,7330,,
Thailand,7180,,
Colombia,6870,,
South Africa,6750,,
Georgia,6680,,
Azerbaijan,6680,,
Ecuador,6510,,
Moldova,6110,,
Ukraine,5070,,
Indonesia,4870,,
Iran,4680,,
Philippines,4230,,
Vietnam,4180,,
Egypt,3900,,
Morocco,3700,,
Bolivia,3600,,
Sri Lanka,3540,,
Bangladesh,2860,,
India,2540,,
Uzbekistan,2360,,
Kenya,2110,,
Nigeria,1930,,
Cambodia,1810,,
Zimbabwe,1740,,
Haiti,1740,,
Kyrgyzstan,1700,,
Cameroon,1650,,
Pakistan,1500,,
Nepal,1370,,
Myanmar,1210,,
Sudan,990,,
Somalia,610,,
Afghanistan,360,,
